Message,Label
Send Detergent and Coke 2L to Park View by evening.,Ordering
please send 2 shampoo to huda colony.,Inquiry
need potatoes and butter at cross road fast.,Ordering
do 1kg aata and 500g detergent urgently.,Logistics
Please send 2 Pulses to Huda Colony.,Ordering
need honey and eggs at building 7 fast.,Complaint
Need Honey and Detergent at Pocket B fast.,Ordering
do 1kg Shampoo and 500g Milk urgently.,Ordering
I ordered Rice but you sent Pulses instead. Please check.,Inquiry
is there a fresh stock of sugar?,Ordering
is there a fresh stock of rice?,Logistics
Items are missing from my bag. Rice nahi hai isme.,Inquiry
"biscuits kharab nikla, replace karo.",Ordering
send detergent and coke 2l to market area by evening.,Ordering
"ORDER FOR BUILDING 7: DETERGENT, SUGAR, AND SUGAR.",Inquiry
do 1kg Sugar and 500g Aata urgently.,Ordering
Biscuits hai kya? 2 packet bhej do.,Inquiry
the rice is leaking.,Inquiry
items are missing from my bag. butter nahi hai isme.,Ordering
Eggs hai kya? 2 packet bhej do.,Complaint
bhaiya salt pack kardo.,Inquiry
Items are missing from my bag. Aata nahi hai isme.,Logistics
I ORDERED PANEER BUT YOU SENT PANEER INSTEAD. PLEASE CHECK.,Ordering
can you send some photos of the new soap stock?,Ordering
Send Biscuits and Eggs to Civil Lines by evening.,Ordering
send coffee and shampoo to park view by evening.,Ordering
The Sugar is leaking.,Complaint
Please send 2 Detergent to Huda Colony.,Ordering
please send 2 soap to metro station.,Ordering
ek packet maggi bhej do ghar pe.,Ordering
do you have maggi brand or local one?,Ordering
I ordered Oil but you sent Rice instead. Please check.,Complaint
Please send 2 Aata to Cross Road.,Logistics
Items are missing from my bag. Coke 2L nahi hai isme.,Complaint
I ordered Curd but you sent Coke 2L instead. Please check.,Ordering
I ORDERED AATA BUT YOU SENT MILK INSTEAD. PLEASE CHECK.,Logistics
SEND SHAMPOO AND BISCUITS TO PARK VIEW BY EVENING.,Ordering
"Order for Lane 4: Soap, Rice, and sugar.",Ordering
Soap ka price kya hai?,Ordering
do 1kg potatoes and 500g milk urgently.,Complaint
"Order for Metro Station: Bread, Shampoo, and sugar.",Ordering
"Order for Tower A: Eggs, Bread, and sugar.",Inquiry
"order for flat 102: maggi, aata, and sugar.",Ordering
Please send 2 Aata to Tower A.,Complaint
do 1kg Paneer and 500g Honey urgently.,Ordering
"MUJHE RICE CHAHIYE, KITNE KA HAI?",Ordering
Need Milk and Bread at Flat 102 fast.,Complaint
"check if Salt is in stock, need 3 pieces.",Logistics
DO YOU HAVE COKE 2L BRAND OR LOCAL ONE?,Logistics
need pulses and coke 2l at flat 102 fast.,Complaint
Items are missing from my bag. Eggs nahi hai isme.,Logistics
I ordered Coke 2L but you sent Aata instead. Please check.,Complaint
Please send 2 Coke 2L to Sector 15.,Ordering
"ORDER FOR POCKET B: DETERGENT, SHAMPOO, AND SUGAR.",Logistics
CURD KA PRICE KYA HAI?,Ordering
do 1kg Potatoes and 500g Eggs urgently.,Ordering
"check if Eggs is in stock, need 3 pieces.",Ordering
Detergent hai kya? 2 packet bhej do.,Complaint
Please send 2 Oil to Civil Lines.,Ordering
WORST SERVICE EVER FOR RICE.,Inquiry
Please send 2 Curd to Pocket B.,Ordering
Is there a fresh stock of Detergent?,Inquiry
do 1kg Bread and 500g Shampoo urgently.,Ordering
"Order for Pocket B: Paneer, Salt, and sugar.",Logistics
I ordered Coffee but you sent Oil instead. Please check.,Ordering
do 1kg Tea and 500g Butter urgently.,Inquiry
i ordered coke 2l but you sent pulses instead. please check.,Ordering
Need Soap and Shampoo at Green Apartments fast.,Complaint
PLEASE SEND 2 DETERGENT TO POCKET B.,Inquiry
I ordered Pulses but you sent Eggs instead. Please check.,Ordering
"order for market area: aata, honey, and sugar.",Ordering
"Mujhe Bread chahiye, kitne ka hai?",Inquiry
Please send 2 Honey to Civil Lines.,Ordering
"Coke 2L kharab nikla, replace karo.",Inquiry
send coffee and shampoo to tower a by evening.,Inquiry
add one butter to my basket also.,Complaint
"order for pocket b: eggs, detergent, and sugar.",Ordering
do 1kg Bread and 500g Potatoes urgently.,Complaint
do 1kg eggs and 500g rice urgently.,Ordering
do 1kg Paneer and 500g Rice urgently.,Inquiry
coke 2l hai kya? 2 packet bhej do.,Complaint
"Order for Civil Lines: Coffee, Oil, and sugar.",Ordering
send aata and milk to main road shop by evening.,Ordering
I ordered Honey but you sent Tea instead. Please check.,Inquiry
Need Tea and Rice at Tower A fast.,Inquiry
Please send 2 Shampoo to Sector 15.,Ordering
Bhaiya Curd pack kardo.,Ordering
Please send 2 Honey to Flat 102.,Complaint
Need Rice and Oil at Flat 102 fast.,Logistics
"Order for Tower A: Eggs, Biscuits, and sugar.",Ordering
PLEASE SEND 2 SHAMPOO TO FLAT 102.,Ordering
Expired Salt bhej diya aapne.,Complaint
Send Potatoes and Curd to Near SBI Bank by evening.,Ordering
please send 2 shampoo to metro station.,Complaint
SEND PULSES AND MILK TO HUDA COLONY BY EVENING.,Ordering
need soap and detergent at pocket b fast.,Inquiry
need bread and coke 2l at near sbi bank fast.,Inquiry
Please send 2 Biscuits to Civil Lines.,Logistics
I ordered Tea but you sent Salt instead. Please check.,Ordering
items are missing from my bag. tea nahi hai isme.,Complaint
Need Pulses and Eggs at Green Apartments fast.,Complaint
do 1kg salt and 500g oil urgently.,Ordering
Send Bread and Milk to Building 7 by evening.,Ordering
can you send some photos of the new shampoo stock?,Ordering
I ordered Salt but you sent Biscuits instead. Please check.,Inquiry
do 1kg rice and 500g milk urgently.,Ordering
Please send 2 Bread to Lane 4.,Ordering
i ordered eggs but you sent detergent instead. please check.,Logistics
PLEASE SEND 2 OIL TO MARKET AREA.,Ordering
Need Tea and Aata at Flat 102 fast.,Ordering
"Order for Building 7: Pulses, Shampoo, and sugar.",Ordering
I ordered Bread but you sent Biscuits instead. Please check.,Ordering
"order for park view: maggi, milk, and sugar.",Complaint
Send Bread and Detergent to Market Area by evening.,Inquiry
"Order for Green Apartments: Biscuits, Biscuits, and sugar.",Ordering
the salt is leaking.,Complaint
Send Pulses and Eggs to Cross Road by evening.,Complaint
"Order for Civil Lines: Oil, Eggs, and sugar.",Ordering
send eggs and milk to pocket b by evening.,Ordering
Bhaiya Paneer pack kardo.,Inquiry
Need Salt and Milk at Pocket B fast.,Inquiry
"order for green apartments: honey, coffee, and sugar.",Complaint
Worst service ever for Tea.,Inquiry
Send Coffee and Sugar to Pocket B by evening.,Ordering
"I am not at home, please deliver at Building 7.",Inquiry
send pulses and pulses to market area by evening.,Complaint
do 1kg Biscuits and 500g Salt urgently.,Ordering
do 1kg Rice and 500g Shampoo urgently.,Ordering
Send Shampoo and Aata to Main Road Shop by evening.,Ordering
do 1kg tea and 500g tea urgently.,Ordering
please send 2 paneer to flat 102.,Ordering
Expired Tea bhej diya aapne.,Ordering
Send Coke 2L and Biscuits to Building 7 by evening.,Logistics
Can you send some photos of the new Biscuits stock?,Ordering
I ordered Rice but you sent Soap instead. Please check.,Ordering
BREAD KA PRICE KYA HAI?,Complaint
Send Salt and Pulses to Cross Road by evening.,Inquiry
Send Sugar and Milk to Park View by evening.,Inquiry
Need Maggi and Biscuits at Flat 102 fast.,Ordering
Is there a fresh stock of Coke 2L?,Ordering
send bread and maggi to pocket b by evening.,Complaint
"Order for Building 7: Eggs, Pulses, and sugar.",Ordering
can you send some photos of the new paneer stock?,Complaint
Send Eggs and Salt to Green Apartments by evening.,Ordering
Send Detergent and Maggi to Building 7 by evening.,Ordering
Do you have Shampoo in stock?,Ordering
please send 2 detergent to sector 15.,Ordering
do 1kg Coffee and 500g Salt urgently.,Complaint
"order for sector 15: coffee, eggs, and sugar.",Ordering
Need Potatoes and Paneer at Flat 102 fast.,Ordering
Send Soap and Soap to Flat 102 by evening.,Complaint
Need Detergent and Maggi at Civil Lines fast.,Inquiry
do 1kg Maggi and 500g Eggs urgently.,Ordering
I ordered Butter but you sent Tea instead. Please check.,Logistics
PLEASE SEND 2 HONEY TO MARKET AREA.,Ordering
"Butter kharab nikla, replace karo.",Ordering
need milk and milk at near sbi bank fast.,Ordering
Need Paneer and Eggs at Building 7 fast.,Ordering
Need Pulses and Rice at Tower A fast.,Inquiry
"Order for Building 7: Potatoes, Paneer, and sugar.",Ordering
send aata and bread to tower a by evening.,Ordering
"Order for Flat 102: Milk, Soap, and sugar.",Ordering
Expired Paneer bhej diya aapne.,Ordering
worst service ever for detergent.,Complaint
Butter ka price kya hai?,Inquiry
please send 2 rice to lane 4.,Inquiry
please send 2 curd to lane 4.,Complaint
"order for huda colony: detergent, paneer, and sugar.",Ordering
1 box Maggi deliver karwa do.,Ordering
Add one Potatoes to my basket also.,Ordering
"Order for Main Road Shop: Maggi, Tea, and sugar.",Complaint
do 1kg Oil and 500g Potatoes urgently.,Complaint
Send Butter and Potatoes to Green Apartments by evening.,Logistics
Send Sugar and Bread to Near SBI Bank by evening.,Ordering
Need Detergent and Tea at Tower A fast.,Logistics
Please send 2 Biscuits to Huda Colony.,Ordering
"Order for Civil Lines: Coffee, Potatoes, and sugar.",Ordering
DO 1KG SOAP AND 500G BREAD URGENTLY.,Inquiry
"order for building 7: tea, bread, and sugar.",Inquiry
DO 1KG BISCUITS AND 500G RICE URGENTLY.,Ordering
I ordered Biscuits but you sent Soap instead. Please check.,Ordering
please send 2 coffee to cross road.,Ordering
please send 2 pulses to pocket b.,Inquiry
Send Salt and Coke 2L to Pocket B by evening.,Logistics
I ordered Curd but you sent Aata instead. Please check.,Complaint
"Order for Huda Colony: Biscuits, Eggs, and sugar.",Ordering
Need Tea and Rice at Huda Colony fast.,Ordering
Worst service ever for Aata.,Inquiry
Send Soap and Bread to Market Area by evening.,Inquiry
Send Soap and Aata to Main Road Shop by evening.,Logistics
do 1kg Butter and 500g Curd urgently.,Ordering
please call before reaching civil lines.,Logistics
please send 2 milk to sector 15.,Complaint
NEED OIL AND BISCUITS AT SECTOR 15 FAST.,Inquiry
Need Tea and Rice at Civil Lines fast.,Complaint
PLEASE SEND 2 COFFEE TO FLAT 102.,Ordering
NEED BREAD AND BISCUITS AT POCKET B FAST.,Ordering
do 1kg Salt and 500g Eggs urgently.,Ordering
do 1kg butter and 500g honey urgently.,Complaint
Send Butter and Soap to Huda Colony by evening.,Complaint
do 1kg Soap and 500g Biscuits urgently.,Complaint
need butter and sugar at cross road fast.,Logistics
Send Potatoes and Detergent to Pocket B by evening.,Complaint
Send Maggi and Potatoes to Tower A by evening.,Ordering
Send Honey and Eggs to Building 7 by evening.,Inquiry
items are missing from my bag. honey nahi hai isme.,Complaint
Add one Biscuits to my basket also.,Ordering
do you have biscuits in stock?,Ordering
"Mujhe Salt chahiye, kitne ka hai?",Ordering
please send 2 honey to sector 15.,Ordering
Send Tea and Detergent to Metro Station by evening.,Complaint
Expired Biscuits bhej diya aapne.,Logistics
i ordered coke 2l but you sent salt instead. please check.,Ordering
please send 2 pulses to tower a.,Inquiry
I ordered Detergent but you sent Coke 2L instead. Please check.,Logistics
send paneer and eggs to pocket b by evening.,Ordering
"order for tower a: detergent, butter, and sugar.",Inquiry
Send Tea and Coke 2L to Main Road Shop by evening.,Inquiry
I ordered Tea but you sent Butter instead. Please check.,Ordering
send pulses and bread to metro station by evening.,Ordering
do 1kg paneer and 500g pulses urgently.,Ordering
I ordered Coffee but you sent Coffee instead. Please check.,Ordering
Send Detergent and Pulses to Lane 4 by evening.,Inquiry
Please send 2 Rice to Building 7.,Complaint
do 1kg Maggi and 500g Coke 2L urgently.,Ordering
Send Eggs and Tea to Tower A by evening.,Complaint
1 box Milk deliver karwa do.,Ordering
"order for civil lines: oil, tea, and sugar.",Inquiry
SEND SOAP AND CURD TO GREEN APARTMENTS BY EVENING.,Ordering
"order for huda colony: honey, rice, and sugar.",Inquiry
do 1kg Detergent and 500g Soap urgently.,Inquiry
need soap and aata at building 7 fast.,Inquiry
Need Maggi and Sugar at Tower A fast.,Complaint
Need Biscuits and Detergent at Main Road Shop fast.,Ordering
1 box pulses deliver karwa do.,Ordering
1 box Rice deliver karwa do.,Complaint
send coke 2l and tea to flat 102 by evening.,Logistics
I ordered Coffee but you sent Potatoes instead. Please check.,Ordering
i ordered tea but you sent honey instead. please check.,Ordering
"order for civil lines: detergent, bread, and sugar.",Ordering
"order for huda colony: detergent, curd, and sugar.",Ordering
"Sugar kharab nikla, replace karo.",Complaint
Need Coke 2L and Maggi at Pocket B fast.,Logistics
i ordered paneer but you sent coke 2l instead. please check.,Inquiry
i ordered curd but you sent bread instead. please check.,Logistics
"Order for Flat 102: Oil, Eggs, and sugar.",Ordering
Send Salt and Pulses to Huda Colony by evening.,Complaint
send milk and detergent to civil lines by evening.,Complaint
need bread and maggi at huda colony fast.,Ordering
send shampoo and tea to park view by evening.,Complaint
i ordered pulses but you sent bread instead. please check.,Complaint
Need Coffee and Honey at Main Road Shop fast.,Complaint
I ordered Oil but you sent Coke 2L instead. Please check.,Complaint
Please send 2 Oil to Flat 102.,Complaint
Please send 2 Eggs to Flat 102.,Ordering
do 1kg shampoo and 500g maggi urgently.,Ordering
do 1kg pulses and 500g bread urgently.,Ordering
Do you have Detergent in stock?,Ordering
do you have Shampoo brand or local one?,Ordering
do 1kg eggs and 500g butter urgently.,Ordering
do 1kg Bread and 500g Soap urgently.,Ordering
send butter and detergent to pocket b by evening.,Complaint
Send Pulses and Oil to Cross Road by evening.,Complaint
send aata and eggs to huda colony by evening.,Ordering
need detergent and coffee at green apartments fast.,Ordering
"Order for Civil Lines: Bread, Soap, and sugar.",Complaint
do 1kg paneer and 500g detergent urgently.,Logistics
i ordered maggi but you sent eggs instead. please check.,Inquiry
Need Sugar and Maggi at Civil Lines fast.,Ordering
PLEASE SEND 2 SOAP TO HUDA COLONY.,Ordering
NEED TEA AND AATA AT HUDA COLONY FAST.,Ordering
do 1kg Bread and 500g Eggs urgently.,Inquiry
do 1kg Biscuits and 500g Milk urgently.,Ordering
please send 2 tea to tower a.,Ordering
Please send 2 Sugar to Civil Lines.,Ordering
"Order for Pocket B: Biscuits, Potatoes, and sugar.",Ordering
Do you have Soap in stock?,Ordering
send milk and soap to lane 4 by evening.,Complaint
I ordered Eggs but you sent Butter instead. Please check.,Ordering
"Order for Green Apartments: Shampoo, Potatoes, and sugar.",Complaint
do you have Biscuits brand or local one?,Ordering
Please send 2 Maggi to Pocket B.,Inquiry
"Order for Civil Lines: Aata, Curd, and sugar.",Ordering
need paneer and bread at main road shop fast.,Complaint
Is there a fresh stock of Milk?,Ordering
NEED AATA AND SALT AT HUDA COLONY FAST.,Ordering
Need Coffee and Milk at Near SBI Bank fast.,Ordering
DO 1KG MILK AND 500G POTATOES URGENTLY.,Ordering
Send Butter and Coffee to Metro Station by evening.,Ordering
"mujhe paneer chahiye, kitne ka hai?",Ordering
need detergent and oil at lane 4 fast.,Complaint
do 1kg coke 2l and 500g coke 2l urgently.,Ordering
CHANGE ADDRESS TO TOWER A.,Complaint
do 1kg Detergent and 500g Detergent urgently.,Ordering
Please send 2 Eggs to Tower A.,Logistics
Need Aata and Aata at Near SBI Bank fast.,Ordering
do 1kg Biscuits and 500g Coke 2L urgently.,Ordering
I ordered Maggi but you sent Pulses instead. Please check.,Logistics
SEND EGGS AND OIL TO BUILDING 7 BY EVENING.,Ordering
send butter and pulses to park view by evening.,Ordering
Maggi hai kya? 2 packet bhej do.,Ordering
Change address to Metro Station.,Ordering
do 1kg milk and 500g milk urgently.,Complaint
Need Milk and Bread at Sector 15 fast.,Inquiry
i ordered shampoo but you sent detergent instead. please check.,Inquiry
ek packet butter bhej do ghar pe.,Inquiry
Need Sugar and Milk at Green Apartments fast.,Ordering
"Order for Metro Station: Butter, Pulses, and sugar.",Ordering
"ORDER FOR SECTOR 15: MILK, TEA, AND SUGAR.",Ordering
Ek packet Coke 2L bhej do ghar pe.,Complaint
Send Oil and Shampoo to Metro Station by evening.,Complaint
worst service ever for oil.,Ordering
change address to flat 102.,Complaint
do 1kg Aata and 500g Curd urgently.,Ordering
do 1kg Curd and 500g Rice urgently.,Ordering
I ordered Biscuits but you sent Bread instead. Please check.,Ordering
do 1kg Coke 2L and 500g Coffee urgently.,Ordering
send soap and potatoes to near sbi bank by evening.,Complaint
i ordered tea but you sent rice instead. please check.,Complaint
Need Curd and Eggs at Market Area fast.,Complaint
"Order for Flat 102: Honey, Eggs, and sugar.",Ordering
SEND PANEER AND POTATOES TO MAIN ROAD SHOP BY EVENING.,Ordering
NEED MILK AND PULSES AT METRO STATION FAST.,Ordering
I ordered Shampoo but you sent Tea instead. Please check.,Logistics
i ordered milk but you sent sugar instead. please check.,Ordering
send potatoes and maggi to lane 4 by evening.,Ordering
do you have Honey brand or local one?,Complaint
bhaiya eggs pack kardo.,Complaint
Need Coke 2L and Pulses at Sector 15 fast.,Complaint
need coke 2l and sugar at building 7 fast.,Inquiry
I ORDERED COFFEE BUT YOU SENT BUTTER INSTEAD. PLEASE CHECK.,Ordering
Need Eggs and Milk at Main Road Shop fast.,Ordering
do 1kg Oil and 500g Sugar urgently.,Complaint
i ordered shampoo but you sent bread instead. please check.,Ordering
do 1kg Tea and 500g Curd urgently.,Complaint
do 1kg maggi and 500g sugar urgently.,Ordering
Send Butter and Milk to Lane 4 by evening.,Irrelevant
need paneer and butter at cross road fast.,Ordering
I ordered Detergent but you sent Eggs instead. Please check.,Complaint
do 1kg aata and 500g tea urgently.,Logistics
Send Pulses and Eggs to Market Area by evening.,Inquiry
please send 2 milk to metro station.,Complaint
Send Biscuits and Detergent to Park View by evening.,Inquiry
do you have Paneer brand or local one?,Ordering
DO 1KG AATA AND 500G PULSES URGENTLY.,Inquiry
I ordered Soap but you sent Pulses instead. Please check.,Complaint
"order for huda colony: shampoo, coke 2l, and sugar.",Complaint
Send Coffee and Oil to Huda Colony by evening.,Ordering
Send Bread and Maggi to Market Area by evening.,Complaint
I ordered Curd but you sent Tea instead. Please check.,Ordering
Send Salt and Coke 2L to Market Area by evening.,Complaint
need milk and coffee at cross road fast.,Logistics
need eggs and bread at near sbi bank fast.,Ordering
do 1kg Rice and 500g Potatoes urgently.,Inquiry
send curd and coffee to sector 15 by evening.,Ordering
Please send 2 Oil to Green Apartments.,Ordering
i ordered potatoes but you sent rice instead. please check.,Ordering
"order for pocket b: coke 2l, paneer, and sugar.",Ordering
Milk ka price kya hai?,Ordering
"Order for Lane 4: Maggi, Detergent, and sugar.",Ordering
i ordered shampoo but you sent eggs instead. please check.,Ordering
I ordered Coffee but you sent Pulses instead. Please check.,Ordering
NEED PANEER AND DETERGENT AT CROSS ROAD FAST.,Ordering
"Order for Green Apartments: Maggi, Biscuits, and sugar.",Ordering
do 1kg Curd and 500g Biscuits urgently.,Ordering
do 1kg coke 2l and 500g rice urgently.,Ordering
Need Biscuits and Bread at Metro Station fast.,Ordering
Please send 2 Biscuits to Flat 102.,Inquiry
"order for lane 4: paneer, shampoo, and sugar.",Ordering
send tea and potatoes to huda colony by evening.,Complaint
do 1kg Salt and 500g Milk urgently.,Complaint
do 1kg Coke 2L and 500g Oil urgently.,Complaint
i ordered shampoo but you sent sugar instead. please check.,Ordering
"Order for Civil Lines: Pulses, Tea, and sugar.",Inquiry
need paneer and aata at tower a fast.,Complaint
do 1kg maggi and 500g shampoo urgently.,Complaint
"order for near sbi bank: pulses, butter, and sugar.",Complaint
send butter and coffee to lane 4 by evening.,Logistics
i ordered aata but you sent aata instead. please check.,Ordering
PLEASE SEND 2 BUTTER TO FLAT 102.,Inquiry
Need Bread and Butter at Building 7 fast.,Ordering
I ordered Aata but you sent Tea instead. Please check.,Ordering
"Order for Building 7: Bread, Eggs, and sugar.",Ordering
"Order for Main Road Shop: Coke 2L, Paneer, and sugar.",Ordering
need bread and shampoo at lane 4 fast.,Inquiry
do 1kg Tea and 500g Potatoes urgently.,Inquiry
need coke 2l and pulses at cross road fast.,Ordering
Send Coke 2L and Detergent to Sector 15 by evening.,Inquiry
Send Pulses and Coke 2L to Near SBI Bank by evening.,Ordering
i ordered maggi but you sent paneer instead. please check.,Ordering
"Order for Pocket B: Milk, Tea, and sugar.",Ordering
Need Aata and Biscuits at Green Apartments fast.,Ordering
please send 2 curd to civil lines.,Inquiry
Need Salt and Butter at Pocket B fast.,Ordering
please send 2 aata to civil lines.,Complaint
Send Potatoes and Biscuits to Flat 102 by evening.,Ordering
i ordered tea but you sent shampoo instead. please check.,Inquiry
Send Curd and Shampoo to Flat 102 by evening.,Ordering
Please send 2 Honey to Huda Colony.,Ordering
Please send 2 Milk to Lane 4.,Inquiry
"order for building 7: honey, biscuits, and sugar.",Inquiry
"Order for Huda Colony: Milk, Honey, and sugar.",Ordering
do 1kg maggi and 500g coffee urgently.,Complaint
"order for tower a: curd, sugar, and sugar.",Inquiry
Send Rice and Pulses to Green Apartments by evening.,Ordering
"order for building 7: rice, biscuits, and sugar.",Complaint
Need Eggs and Butter at Building 7 fast.,Ordering
Send Detergent and Potatoes to Market Area by evening.,Ordering
send rice and salt to civil lines by evening.,Ordering
I ORDERED CURD BUT YOU SENT PULSES INSTEAD. PLEASE CHECK.,Complaint
"Order for Sector 15: Potatoes, Sugar, and sugar.",Ordering
"order for main road shop: potatoes, rice, and sugar.",Ordering
"order for huda colony: butter, sugar, and sugar.",Ordering
"order for park view: detergent, potatoes, and sugar.",Inquiry
Please send 2 Honey to Tower A.,Complaint
"order for huda colony: potatoes, maggi, and sugar.",Complaint
send tea and biscuits to near sbi bank by evening.,Ordering
do 1kg Tea and 500g Oil urgently.,Ordering
need butter and rice at tower a fast.,Complaint
do 1kg bread and 500g oil urgently.,Ordering
I ORDERED CURD BUT YOU SENT DETERGENT INSTEAD. PLEASE CHECK.,Inquiry
I ordered Maggi but you sent Biscuits instead. Please check.,Ordering
"Order for Civil Lines: Oil, Soap, and sugar.",Complaint
"Order for Cross Road: Potatoes, Coffee, and sugar.",Ordering
need butter and detergent at sector 15 fast.,Ordering
Need Potatoes and Tea at Huda Colony fast.,Ordering
Please send 2 Tea to Sector 15.,Ordering
send soap and oil to tower a by evening.,Ordering
please send 2 milk to main road shop.,Complaint
need coke 2l and tea at market area fast.,Ordering
do 1kg Pulses and 500g Oil urgently.,Ordering
do 1kg oil and 500g milk urgently.,Ordering
Need Rice and Paneer at Near SBI Bank fast.,Ordering
do 1kg maggi and 500g maggi urgently.,Ordering
Please send 2 Tea to Metro Station.,Inquiry
SEND BISCUITS AND CURD TO METRO STATION BY EVENING.,Complaint
Please send 2 Honey to Near SBI Bank.,Ordering
need shampoo and honey at sector 15 fast.,Ordering
Please send 2 Paneer to Pocket B.,Ordering
need biscuits and sugar at main road shop fast.,Complaint
i ordered maggi but you sent soap instead. please check.,Complaint
I ORDERED SOAP BUT YOU SENT PANEER INSTEAD. PLEASE CHECK.,Ordering
"Order for Huda Colony: Honey, Coke 2L, and sugar.",Ordering
need honey and maggi at huda colony fast.,Ordering
Need Salt and Salt at Near SBI Bank fast.,Ordering
I ordered Milk but you sent Paneer instead. Please check.,Ordering
"Order for Lane 4: Honey, Tea, and sugar.",Ordering
"Order for Cross Road: Coffee, Bread, and sugar.",Inquiry
"Order for Park View: Biscuits, Salt, and sugar.",Logistics
Need Potatoes and Paneer at Main Road Shop fast.,Ordering
Please send 2 Biscuits to Green Apartments.,Ordering
I ordered Detergent but you sent Milk instead. Please check.,Complaint
Please send 2 Aata to Sector 15.,Ordering
I ordered Curd but you sent Butter instead. Please check.,Ordering
"Order for Metro Station: Coke 2L, Coffee, and sugar.",Ordering
need rice and bread at pocket b fast.,Ordering
Send Honey and Paneer to Civil Lines by evening.,Ordering
I ordered Sugar but you sent Pulses instead. Please check.,Ordering
NEED COFFEE AND BREAD AT LANE 4 FAST.,Inquiry
do 1kg Rice and 500g Honey urgently.,Ordering
need coke 2l and bread at lane 4 fast.,Complaint
"order for cross road: curd, potatoes, and sugar.",Inquiry
I ordered Maggi but you sent Rice instead. Please check.,Ordering
do 1kg Honey and 500g Salt urgently.,Inquiry
Need Rice and Detergent at Park View fast.,Complaint
Please send 2 Eggs to Sector 15.,Ordering
"Order for Flat 102: Eggs, Coke 2L, and sugar.",Complaint
do 1kg tea and 500g bread urgently.,Complaint
PLEASE SEND 2 COFFEE TO SECTOR 15.,Ordering
Send Pulses and Biscuits to Market Area by evening.,Ordering
need curd and eggs at civil lines fast.,Complaint
Send Coffee and Potatoes to Park View by evening.,Inquiry
send bread and aata to park view by evening.,Ordering
Please send 2 Rice to Park View.,Ordering
I ordered Coffee but you sent Honey instead. Please check.,Ordering
I ordered Aata but you sent Maggi instead. Please check.,Inquiry
Send Honey and Aata to Pocket B by evening.,Inquiry
do 1kg tea and 500g biscuits urgently.,Inquiry
do 1kg Honey and 500g Paneer urgently.,Complaint
I ordered Soap but you sent Eggs instead. Please check.,Ordering
do 1kg maggi and 500g honey urgently.,Inquiry
"Order for Tower A: Coffee, Oil, and sugar.",Ordering
send butter and oil to huda colony by evening.,Complaint
"Order for Building 7: Paneer, Bread, and sugar.",Ordering
Please send 2 Potatoes to Lane 4.,Ordering
do 1kg Milk and 500g Curd urgently.,Ordering
"order for civil lines: shampoo, tea, and sugar.",Complaint
Need Pulses and Oil at Pocket B fast.,Ordering
please send 2 soap to civil lines.,Ordering
I ordered Detergent but you sent Detergent instead. Please check.,Ordering
DO 1KG EGGS AND 500G PANEER URGENTLY.,Complaint
do 1kg milk and 500g butter urgently.,Complaint
do 1kg Eggs and 500g Biscuits urgently.,Ordering
Need Bread and Detergent at Near SBI Bank fast.,Complaint
Please send 2 Pulses to Sector 15.,Inquiry
do 1kg Salt and 500g Coffee urgently.,Logistics
Send Aata and Potatoes to Pocket B by evening.,Ordering
do 1kg Aata and 500g Bread urgently.,Ordering
Need Tea and Detergent at Tower A fast.,Inquiry
Need Aata and Coffee at Building 7 fast.,Ordering
"check if Maggi is in stock, need 3 pieces.",Ordering
SEND POTATOES AND SOAP TO HUDA COLONY BY EVENING.,Ordering
do 1kg Salt and 500g Maggi urgently.,Logistics
PLEASE SEND 2 CURD TO SECTOR 15.,Complaint
send detergent and rice to cross road by evening.,Ordering
Send Sugar and Rice to Pocket B by evening.,Ordering
i ordered butter but you sent curd instead. please check.,Inquiry
i ordered salt but you sent pulses instead. please check.,Ordering
Need Butter and Pulses at Tower A fast.,Ordering
"Order for Green Apartments: Potatoes, Salt, and sugar.",Ordering
Worst service ever for Salt.,Ordering
"Order for Tower A: Milk, Soap, and sugar.",Complaint
Need Detergent and Rice at Tower A fast.,Inquiry
do 1kg Sugar and 500g Milk urgently.,Ordering
send biscuits and tea to pocket b by evening.,Inquiry
please send 2 curd to huda colony.,Ordering
Need Salt and Maggi at Metro Station fast.,Ordering
need soap and milk at main road shop fast.,Complaint
"order for sector 15: sugar, bread, and sugar.",Complaint
Send Tea and Soap to Flat 102 by evening.,Complaint
i ordered paneer but you sent salt instead. please check.,Ordering
Send Sugar and Pulses to Market Area by evening.,Complaint
"order for green apartments: curd, bread, and sugar.",Inquiry
Please send 2 Salt to Tower A.,Ordering
I ordered Eggs but you sent Bread instead. Please check.,Logistics
SEND SUGAR AND CURD TO GREEN APARTMENTS BY EVENING.,Ordering
Please send 2 Curd to Market Area.,Inquiry
"order for main road shop: potatoes, curd, and sugar.",Ordering
PLEASE SEND 2 BUTTER TO PARK VIEW.,Ordering
i ordered maggi but you sent curd instead. please check.,Ordering
"ORDER FOR FLAT 102: BISCUITS, BREAD, AND SUGAR.",Ordering
I ordered Shampoo but you sent Maggi instead. Please check.,Ordering
do 1kg Curd and 500g Pulses urgently.,Ordering
do 1kg biscuits and 500g biscuits urgently.,Ordering
do 1kg salt and 500g biscuits urgently.,Ordering
Need Sugar and Coke 2L at Flat 102 fast.,Complaint
I ORDERED SUGAR BUT YOU SENT COKE 2L INSTEAD. PLEASE CHECK.,Ordering
need milk and pulses at tower a fast.,Ordering
